epoch	loss	prec1	prec5	lr
1	1.7871007919311523	47.31834030151367	88.84083557128906	0.01
2	0.97294020652771	71.84255981445312	97.4480972290039	0.01
3	0.7240842580795288	79.23875427246094	97.96713256835938	0.01
4	0.6005616784095764	82.74221801757812	97.92388153076172	0.01
5	0.5449219346046448	83.78028106689453	98.14014434814453	0.01
6	0.5052032470703125	84.81834411621094	98.09688568115234	0.01
7	0.4890978932380676	85.68339538574219	98.35640716552734	0.01
8	0.44812414050102234	86.6781997680664	98.48616027832031	0.01
9	0.4374355375766754	87.19723510742188	98.399658203125	0.01
10	0.42891961336135864	87.11073303222656	98.65917205810547	0.01
11	0.3750445544719696	88.97058868408203	98.74567413330078	0.01
12	0.3946332633495331	88.10553741455078	98.2698974609375	0.01
13	0.361054927110672	89.14360046386719	98.96194458007812	0.01
14	0.37157878279685974	88.40830993652344	98.83218383789062	0.01
15	0.34174323081970215	89.70588684082031	98.57266998291016	0.001
16	0.3107714056968689	90.44117736816406	98.87543487548828	0.001
17	0.3014698624610901	90.87370300292969	98.57266998291016	0.001
18	0.26693350076675415	91.95501708984375	98.70242309570312	0.001
19	0.27793198823928833	91.39273834228516	98.78893280029297	0.001
20	0.25895047187805176	92.21453857421875	99.2214584350586	0.001
21	0.25989121198654175	92.08477783203125	99.2214584350586	0.001
22	0.2475447654724121	92.820068359375	99.3079605102539	0.001
23	0.2404041886329651	92.90657806396484	99.17820739746094	0.001
24	0.2593032717704773	92.17127990722656	99.0916976928711	0.001
25	0.25607770681381226	92.60380554199219	99.26470947265625	0.00010000000000000002
26	0.23003359138965607	93.29585266113281	99.26470947265625	0.00010000000000000002
27	0.24103155732154846	92.90657806396484	99.0916976928711	0.00010000000000000002
28	0.23371434211730957	93.03633880615234	98.96194458007812	0.00010000000000000002
29	0.25063788890838623	92.77681732177734	99.2214584350586	0.00010000000000000002
30	0.23896069824695587	93.29585266113281	99.00519561767578	0.00010000000000000002
