epoch	loss	prec1	prec5	lr
1	2.4262256622314453	9.126297950744629	50.173011779785156	0.01
2	2.329854726791382	11.245675086975098	53.37370300292969	0.01
3	2.1724774837493896	18.12283706665039	69.37716674804688	0.01
4	1.9587666988372803	26.989620208740234	80.06055450439453	0.01
5	1.8204703330993652	33.08823776245117	84.77508544921875	0.01
6	1.6830425262451172	38.79758071899414	86.41868591308594	0.01
7	1.5647629499435425	43.382354736328125	89.01384735107422	0.01
8	1.4466938972473145	47.70761489868164	90.70069122314453	0.01
9	1.3287172317504883	53.41695785522461	91.95501708984375	0.01
10	1.2872190475463867	53.67647171020508	92.2577896118164	0.01
11	1.2172397375106812	56.747406005859375	93.59861755371094	0.01
12	1.104975938796997	60.81315231323242	94.1176528930664	0.01
13	1.1337639093399048	60.85640335083008	94.07439422607422	0.01
14	1.0342220067977905	66.00346374511719	95.19896697998047	0.01
15	0.9389176964759827	67.64706420898438	96.28028106689453	0.001
16	0.8930603265762329	69.72318267822266	95.89100646972656	0.001
17	0.8773377537727356	70.41522979736328	95.28546905517578	0.001
18	0.8483231663703918	71.28028106689453	96.36678314208984	0.001
19	0.834770679473877	71.71280670166016	96.4100341796875	0.001
20	0.8139500617980957	73.52941131591797	96.32353210449219	0.001
21	0.8266649842262268	72.27508544921875	96.539794921875	0.001
22	0.7980377078056335	72.5778579711914	96.92906951904297	0.001
23	0.7915535569190979	72.66436004638672	96.71280670166016	0.001
24	0.7830290794372559	73.09688568115234	96.539794921875	0.001
25	0.736031174659729	74.35121154785156	96.88581848144531	0.00010000000000000002
26	0.7787883877754211	73.52941131591797	96.71280670166016	0.00010000000000000002
27	0.769681990146637	73.65917205810547	96.97232055664062	0.00010000000000000002
28	0.7844184637069702	74.0916976928711	96.45329284667969	0.00010000000000000002
29	0.770189642906189	73.9619369506836	97.05883026123047	0.00010000000000000002
30	0.7661675810813904	74.61072540283203	97.05883026123047	0.00010000000000000002
