epoch	loss	prec1	prec5	lr
1	2.434190034866333	9.342560768127441	49.43771743774414	0.01
2	2.340209722518921	10.856401443481445	52.42214584350586	0.01
3	2.2813644409179688	15.397924423217773	60.726646423339844	0.01
4	2.2136900424957275	16.911766052246094	66.00346374511719	0.01
5	2.0885751247406006	21.626298904418945	74.91349792480469	0.01
6	2.019758701324463	25.30276870727539	77.6816635131836	0.01
7	1.8923276662826538	31.35813331604004	82.3096923828125	0.01
8	1.772965908050537	36.15917205810547	85.38062286376953	0.01
9	1.6592015027999878	39.44636917114258	88.97058868408203	0.01
10	1.586950659751892	41.39273452758789	89.31661224365234	0.01
11	1.5387886762619019	43.59861755371094	90.0519027709961	0.01
12	1.5016896724700928	45.54498291015625	90.74394989013672	0.01
13	1.404666781425476	51.038063049316406	91.78201293945312	0.01
14	1.3884717226028442	49.78373718261719	92.56055450439453	0.01
15	1.2858672142028809	54.06574630737305	93.20934295654297	0.001
16	1.2553201913833618	56.7906608581543	93.38235473632812	0.001
17	1.2188055515289307	56.141868591308594	95.02595520019531	0.001
18	1.21088707447052	56.7906608581543	94.42041778564453	0.001
19	1.21577787399292	57.56920623779297	94.679931640625	0.001
20	1.1892167329788208	58.26124572753906	94.16090393066406	0.001
21	1.1575289964675903	59.64533233642578	95.15571594238281	0.001
22	1.1621848344802856	59.948097229003906	94.85294342041016	0.001
23	1.133418083190918	60.68339157104492	94.37716674804688	0.001
24	1.1782503128051758	58.26124572753906	94.50691986083984	0.001
25	1.1897201538085938	59.51557159423828	93.9878921508789	0.00010000000000000002
26	1.1943321228027344	57.915225982666016	94.24740600585938	0.00010000000000000002
27	1.182603120803833	59.42906951904297	94.29065704345703	0.00010000000000000002
28	1.1492732763290405	59.34256362915039	94.679931640625	0.00010000000000000002
29	1.1606279611587524	59.21280288696289	94.76644134521484	0.00010000000000000002
30	1.1653106212615967	60.034603118896484	94.42041778564453	0.00010000000000000002
