epoch	loss	prec1	prec5	lr
1	1.8042991161346436	43.25259780883789	86.89446258544922	0.01
2	1.1483218669891357	63.667823791503906	95.32872009277344	0.01
3	0.9559424519538879	68.90138244628906	95.80450439453125	0.01
4	0.8733416795730591	70.97750854492188	95.89100646972656	0.01
5	0.857688307762146	72.18858337402344	95.80450439453125	0.01
6	0.806374728679657	72.83737182617188	95.80450439453125	0.01
7	0.7999463081359863	73.14014434814453	96.36678314208984	0.01
8	0.757403552532196	75.73529815673828	96.45329284667969	0.01
9	0.7324761152267456	76.38408660888672	96.6695556640625	0.01
10	0.6977007389068604	77.46540069580078	96.58304595947266	0.01
11	0.6902981400489807	76.77336120605469	96.539794921875	0.01
12	0.7250686287879944	76.38408660888672	96.45329284667969	0.01
13	0.6331952214241028	79.36851501464844	97.66436004638672	0.01
14	0.6662777662277222	78.07093811035156	96.92906951904297	0.01
15	0.6235179901123047	78.93598937988281	96.92906951904297	0.001
16	0.5623912215232849	81.18512725830078	97.31834411621094	0.001
17	0.5215324759483337	81.96366882324219	97.79412078857422	0.001
18	0.5271096229553223	82.95848083496094	97.10208129882812	0.001
19	0.5379019379615784	82.78546905517578	97.62110900878906	0.001
20	0.5163422226905823	83.17474365234375	97.96713256835938	0.001
21	0.5081743001937866	83.52076721191406	97.62110900878906	0.001
22	0.5275329351425171	82.69896697998047	97.5778579711914	0.001
23	0.4745052754878998	84.60208129882812	98.09688568115234	0.001
24	0.5215721130371094	83.26124572753906	97.40484619140625	0.001
25	0.508222222328186	83.43425750732422	97.88062286376953	0.00010000000000000002
26	0.49086713790893555	84.51557159423828	98.14014434814453	0.00010000000000000002
27	0.49924975633621216	83.78028106689453	97.4913558959961	0.00010000000000000002
28	0.46554863452911377	84.68858337402344	97.5778579711914	0.00010000000000000002
29	0.5337086319923401	82.22318267822266	97.31834411621094	0.00010000000000000002
30	0.5117086172103882	83.2179946899414	97.14533233642578	0.00010000000000000002
